id,State,EC Votes,D Votes,R Votes,T Votes,Total Votes,Past 5
AL,Alabama,9,729547,1318255,75570,2123372,"R, R, R, R, R"
AK,Alaska,3,116454,163387,38767,318608,"R, R, R, R, R"
AZ,Arizona,11,1161167,1252401,159597,2573165,"R, R, R, R, R"
AR,Arkansas,6,380494,684872,65269,1130635,"R, R, R, R, R"
CA,California,55,8753788,4483810,943997,14181595,"D, D, D, D, D"
CO,Colorado,9,1338870,1202484,238893,2780247,"R, R, D, D, D"
CT,Connecticut,7,897572,673215,74133,1644920,"D, D, D, D, D"
DE,Delaware,3,235603,185127,23084,443814,"D, D, D, D, D"
DC,District of Columbia,3,282830,12723,15715,311268,"D, D, D, D, D"
FL,Florida,29,4504975,4617886,297178,9420039,"R, R, D, D, R"
GA,Georgia,16,1877963,2089104,147665,4114732,"R, R, R, R, R"
HI,Hawaii,3,266891,128847,33199,428937,"D, D, D, D, D"
ID,Idaho,4,189765,409055,91435,690255,"R, R, R, R, R"
IL,Illinois,20,3090729,2146015,299680,5536424,"D, D, D, D, D"
IN,Indiana,11,1033126,1557286,144546,2734958,"R, R, D, R, R"
IA,Iowa,6,653669,800983,111379,1566031,"D, R, D, D, R"
KS,Kansas,6,427005,671018,86379,1184402,"R, R, R, R, R"
KY,Kentucky,8,628854,1202971,92324,1924149,"R, R, R, R, R"
LA,Louisiana,8,780154,1178638,70240,2029032,"R, R, R, R, R"
ME,Maine,2,357735,335593,54599,747927,"D, D, D, D, D"
ME_1,Maine 1st,1,212774,154384,27171,394329,"D, D, D, D, D"
ME_2,Maine 2nd,1,144817,181177,27422,353416,"D, D, D, D, R"
MD,Maryland,10,1677928,943169,160349,2781446,"D, D, D, D, D"
MA,Massachusetts,11,1995196,1090893,238957,3325046,"D, D, D, D, D"
MI,Michigan,16,2268839,2279543,250902,4799284,"D, D, D, D, R"
MN,Minnesota,10,1367716,1322951,254146,2944813,"D, D, D, D, D"
MS,Mississippi,6,485131,700714,23512,1209357,"R, R, R, R, R"
MO,Missouri,10,1071068,1594511,143026,2808605,"R, R, R, R, R"
MT,Montana,3,177709,279240,40198,497147,"R, R, R, R, R"
NE,Nebraska,2,284494,495961,63772,844227,"R, R, R, R, R"
NE_1,Nebraska 1st,1,100126,158626,23586,282338,"R, R, R, R, R"
NE_2,Nebraska 2nd,1,131030,137564,23086,291680,"R, R, D, R, R"
NE_3,Nebraska 3rd,1,53290,199657,17162,270109,"R, R, R, R, R"
NV,Nevada,6,539260,512058,74067,1125385,"R, R, D, D, D"
NH,New Hampshire,4,348526,345790,49980,744296,"R, D, D, D, D"
NJ,New Jersey,14,2148278,1601933,123835,3874046,"D, D, D, D, D"
NM,New Mexico,5,385234,319667,93418,798319,"D, R, D, D, D"
NY,New York,29,4556124,2819534,345795,7721453,"D, D, D, D, D"
NC,North Carolina,15,2189316,2362631,189617,4741564,"D, D, R, D, D"
ND,North Dakota,3,93758,216794,33808,344360,"R, R, R, R, R"
OH,Ohio,18,2394164,2841005,261318,5496487,"R, R, D, D, R"
OK,Oklahoma,7,420375,949136,83481,1452992,"R, R, R, R, R"
OR,Oregon,7,1002106,782403,216827,2001336,"D, D, D, D, D"
PA,Pennsylvania,20,2926441,2970733,268304,6165478,"D, D, D, D, R"
RI,Rhode Island,4,252525,180543,31076,464144,"D, D, D, D, D"
SC,South Carolina,9,855373,1155389,92265,2103027,"R, R, R, R, R"
SD,South Dakota,3,117458,227721,24914,370093,"R, R, R, R, R"
TN,Tennessee,11,870695,1522925,114407,2508027,"R, R, R, R, R"
TX,Texas,36,3877868,4685047,406311,8969226,"R, R, R, R, R"
UT,Utah,6,310676,515231,305523,1131430,"R, R, R, R, R"
VT,Vermont,3,178573,95369,41125,315067,"D, D, D, D, D"
VA,Virginia,13,1981473,1769443,233715,3984631,"R, R, D, D, D"
WA,Washington,8,1742718,1221747,352554,3317019,"D, D, D, D, D"
WV,West Virginia,5,188794,489371,36258,714423,"R, R, R, R, R"
WI,Wisconsin,10,1382536,1405284,188330,2976150,"D, D, D, D, R"
WY,Wyoming,3,55973,174419,25457,255849,"R, R, R, R, R"