id,State,DAVG,RAVG,TAVG,DMI,RMI,TMI
AL,Alabama,45,54,1,101,103,100
AZ,Arizona,54,44,2,100,100,100
AK,Alaska,46,52,2,100,100,100
AR,Arkansas,0,99,1,100,103,100
CO,Colorado,54,44,2,102,100,100
DE,Delaware,65,33,2,103,100,100
GA,Georgia,49,49,2,100,103,100
GA_2,Georgia Special,47,52,1,100,103,100
IA,Iowa,48,48,4,100,103,100
ID,Idaho,38,58,4,100,103,100
IL,Illinois,53,42,5,103,100,100
KS,Kansas,46,52,2,100,101,100
KY,Kentucky,42,53,5,100,103,100
LA,Louisiana,38,60,2,100,103,100
MA,Massachusetts,62,37,1,103,100,100
ME,Maine,52,47,1,101,102,100
MI,Michigan,53,46,1,102,100,100
MN,Minnesota,52,47,1,102,100,100
MS,Mississippi,44,54,2,100,102,100
MT,Montana,48,51,1,100,102,100
NC,North Carolina,52,46,2,100,102,100
NE,Nebraska,40,58,2,100,102,100
NH,New Hampshire,58,40,2,102,100,100
NJ,New Jersey,60,35,5,102,100,100
NM,New Mexico,55,44,1,102,100,100
OK,Oklahoma,37,61,2,100,102,100
OR,Oregon,57,41,2,102,100,100
RI,Rhode Island,70,29,1,102,100,100
SC,South Carolina,47,52,1,100,102,100
SD,South Dakota,40,59,1,100,102,100
TN,Tennessee,35,64,1,100,102,100
TX,Texas,46,53,1,101,102,100
VA,Virginia,56,43,1,102,100,100
WV,West Virginia,35,64,1,100,102,100
WY,Wyoming,29,70,1,100,102,100